Name,ID,Number,Club,Position,Nationality,Age,Date of Birth,Height,Weight,Avatar,Goals,Assists
Jason Puncheon,170,42,Crystal Palace,Midfielder,England,32,1986/06/18,173,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p19197.png,0,0
Sullay Kaikai,171,11,Charlton Athletic,Midfielder,England,23,1995/08/26,182,73,https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0
Jonathan Williams,172,20,Crystal Palace,Midfielder,Wales,25,1993/10/09,168,60,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p103100.png,0,0
Cheikhou Kouyaté,173,8,Crystal Palace,Midfielder,Senegal,29,1989/12/21,189,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p55037.png,0,0
Max Meyer,174,7,Crystal Palace,Midfielder,Germany,23,1995/09/18,173,67,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p141020.png,0,0
Alexander Sørloth,175,9,Crystal Palace,Forward,Norway,23,1995/12/05,193,90,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p143877.png,0,0
Wilfried Zaha,176,11,Crystal Palace,Forward,Cote D'Ivoire,26,1992/11/10,180,66,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p82403.png,0,0
Christian Benteke,177,17,Crystal Palace,Forward,Belgium,28,1990/12/03,190,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p54861.png,0,0
Connor Wickham,178,21,Crystal Palace,Forward,England,25,1993/03/31,191,90,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p59125.png,0,0
Jordan Ayew,179,14,Crystal Palace,Forward,Ghana,27,1991/09/11,182,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p80146.png,0,0
Jordan Pickford,180,1,Everton,Goalkeeper,England,24,1994/03/07,185,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p111234.png,0,0
Maarten Stekelenburg,181,22,Everton,Goalkeeper,Netherlands,36,1982/09/22,197,92,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p10318.png,0,0
Mateusz Hewelt,182,41,Everton,Goalkeeper,Poland,22,1996/09/23,186,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p185056.png,0,0
João Virgínia,183,33,Everton,Goalkeeper,Portugal,19,1999/10/10,191,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p222627.png,0,0
Leighton Baines,184,3,Everton,Defender,England,34,1984/12/11,170,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p12745.png,0,0
