Aron Gunnarsson,119,17,5,Midfielder,Iceland,29,1989-04-22,178,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p49845.png,0,0
Víctor Camarasa,120,21,5,Midfielder,Spain,24,1994-05-28,183,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p175946.png,0,0
Harry Arter,121,7,5,Midfielder,Ireland,28,1989-12-28,176,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p48615.png,0,0
Danny Ward,122,9,5,Forward,England,27,1991-12-11,178,72,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p75826.png,0,0
Kenneth Zohore,123,10,5,Forward,Denmark,24,1994-01-31,189,92,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p82078.png,0,0
Nathaniel Mendez-Laing,124,19,5,Forward,England,26,1992-04-15,180,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p76360.png,0,0
David Junior Hoilett,125,33,5,Forward,Canada,28,1990-06-05,173,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p49806.png,0,0
Gary Madine,126,24,5,Forward,England,28,1990-08-24,193,80,https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0
Willy Caballero,127,13,6,Goalkeeper,Argentina,37,1981-09-28,186,81,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p20310.png,0,0
Robert Green,128,31,6,Goalkeeper,England,38,1980-01-18,187,93,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p1243.png,0,0
Kepa Arrizabalaga,129,1,6,Goalkeeper,Spain,24,1994-10-03,189,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p109745.png,0,0
Antonio Rüdiger,130,2,6,Defender,Germany,25,1993-03-03,190,85,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p102380.png,0,0
Marcos Alonso,131,3,6,Defender,Spain,27,1990-12-28,188,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p82263.png,0,0
Victor Moses,132,15,6,Defender,Nigeria,28,1990-12-12,177,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p49013.png,0,0
Davide Zappacosta,133,21,6,Defender,Italy,26,1992-06-11,185,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p105700.png,0,0
Gary Cahill,134,24,6,Defender,England,33,1985-12-19,193,86,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p19419.png,0,0
Andreas Christensen,135,27,6,Defender,Denmark,22,1996-04-10,188,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p135363.png,0,0
César Azpilicueta,136,28,6,Defender,Spain,29,1989-08-28,178,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p41328.png,0,0
David Luiz,137,30,6,Defender,Brazil,31,1987-04-22,189,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p41270.png,0,0
Emerson,138,33,6,Defender,Italy,24,1994-08-03,176,63,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p109533.png,0,0
Ethan Ampadu,139,44,6,Defender,Wales,18,2000-09-14,183,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p199598.png,0,0
Cesc Fàbregas,140,4,6,Midfielder,Spain,31,1987-05-04,180,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p17878.png,0,0
Daniel Drinkwater,141,6,6,Midfielder,England,28,1990-03-05,178,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p61603.png,0,0
N'Golo Kanté,142,7,6,Midfielder,France,27,1991-03-29,168,68,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p116594.png,0,0
Ross Barkley,143,8,6,Midfielder,England,25,1993-12-05,189,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p88894.png,0,0
Ruben Loftus-Cheek,144,12,6,Midfielder,England,22,1996-01-23,191,88,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p126187.png,0,0
Jorginho,145,5,6,Midfielder,Italy,27,1991-12-20,180,65,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p85955.png,0,0
Mateo Kovacic,146,17,6,Midfielder,Croatia,24,1994-05-06,178,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p91651.png,0,0
Álvaro Morata,147,29,6,Forward,Spain,26,1992-10-23,189,85,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p88482.png,0,0
Eden Hazard,148,10,6,Forward,Belgium,27,1991-01-07,173,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p42786.png,0,0
Pedro,149,11,6,Forward,Spain,31,1987-07-28,169,65,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p49579.png,0,0
Olivier Giroud,150,18,6,Forward,France,32,1986-09-30,192,93,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p44346.png,0,0
Willian,151,22,6,Forward,Brazil,30,1988-08-09,175,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p47431.png,0,0
Callum Hudson-Odoi,152,20,6,Forward,England,18,2000-11-07,182,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p209046.png,0,0
Julian Speroni,153,1,7,Goalkeeper,Argentina,39,1979-05-18,186,87,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p11554.png,0,0
Wayne Hennessey,154,13,7,Goalkeeper,Wales,31,1987-01-24,198,90,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p20066.png,0,0
Vicente Guaita,155,31,7,Goalkeeper,Spain,31,1987-01-10,190,81,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40836.png,0,0
Dion Henry,156,30,7,Goalkeeper,England,21,1997-09-12,180,65,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p199806.png,0,0
Patrick van Aanholt,157,3,7,Defender,Netherlands,28,1990-08-29,176,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p74230.png,0,0
James Tomkins,158,5,7,Defender,England,29,1989-03-29,192,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p49413.png,0,0
Scott Dann,159,6,7,Defender,England,31,1987-02-14,188,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p19188.png,0,0
Mamadou Sakho,160,12,7,Defender,France,28,1990-02-13,187,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40784.png,0,0
Jeffrey Schlupp,161,15,7,Defender,Ghana,26,1992-12-23,178,72,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p86417.png,0,0
Pape Souaré,162,27,7,Defender,Senegal,28,1990-06-06,178,69,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p79228.png,0,0
